threshold,tp,fp,fn,tn,profit
0.01,2942,7268,0,0,900000
0.02,2942,7268,0,0,900000
0.03,2942,7268,0,0,900000
0.04,2942,7268,0,0,900000
0.05,2942,7268,0,0,900000
0.06,2942,7268,0,0,900000
0.07,2942,7268,0,0,900000
0.08,2942,7265,0,3,900600
0.09,2942,7265,0,3,900600
0.1,2942,7261,0,7,901400
0.11,2941,7256,1,12,900600
0.12,2939,7249,3,19,898400
0.13,2937,7243,5,25,896000
0.14,2934,7232,8,36,892800
0.15,2933,7221,9,47,893200
0.16,2929,7198,13,70,890600
0.17,2929,7180,13,88,894200
0.18,2925,7163,17,105,890400
0.19,2923,7139,19,129,891600
0.2,2922,7122,20,146,893200
0.21,2918,7089,24,179,892600
0.22,2912,7067,30,201,886200
0.23,2903,7031,39,237,877200
0.24,2895,6985,47,283,872000
0.25,2888,6926,54,342,871200
0.26,2879,6866,63,402,867000
0.27,2867,6808,75,460,857000
0.28,2857,6729,85,539,854800
0.29,2845,6644,97,624,850200
0.3,2824,6562,118,706,828800
0.31,2798,6442,144,826,806000
0.32,2772,6328,170,940,782000
0.33,2746,6198,196,1070,761200
0.34,2721,6043,221,1225,747200
0.35,2685,5902,257,1366,710600
0.36,2643,5742,299,1526,667000
0.37,2602,5574,340,1694,626800
0.38,2556,5391,386,1877,580600
0.39,2498,5188,444,2080,516800
0.4,2444,4990,498,2278,459200
0.41,2391,4805,551,2463,400800
0.42,2331,4622,611,2646,329400
0.43,2271,4438,671,2830,258200
0.44,2200,4228,742,3040,172400
0.45,2126,4013,816,3255,82200
0.46,2055,3797,887,3471,-2400
0.47,1969,3584,973,3684,-114600
0.48,1878,3352,1064,3916,-232000
0.49,1798,3139,1144,4129,-333400
0.5,1718,2931,1224,4337,-435800
0.51,1616,2714,1326,4554,-576000
0.52,1509,2519,1433,4749,-729600
0.53,1421,2313,1521,4955,-846800
0.54,1327,2129,1615,5139,-979200
0.55,1247,1929,1695,5339,-1083200
0.56,1140,1737,1802,5531,-1237400
0.57,1063,1566,1879,5702,-1341800
0.58,970,1412,1972,5856,-1478400
0.59,888,1265,2054,6003,-1596600
0.6,794,1128,2148,6140,-1738400
0.61,714,1026,2228,6242,-1862000
0.62,648,925,2294,6343,-1960600
0.63,597,816,2345,6452,-2030600
0.64,551,724,2391,6544,-2095000
0.65,494,635,2448,6633,-2179800
0.66,451,545,2491,6723,-2239200
0.67,396,481,2546,6787,-2325400
0.68,353,419,2589,6849,-2390400
0.69,315,364,2627,6904,-2447800
0.7,287,324,2655,6944,-2490200
0.71,262,282,2680,6986,-2526800
0.72,234,245,2708,7023,-2569800
0.73,210,217,2732,7051,-2607400
0.74,185,196,2757,7072,-2648200
0.75,161,175,2781,7093,-2687200
0.76,139,150,2803,7118,-2721800
0.77,122,129,2820,7139,-2748200
0.78,113,109,2829,7159,-2760400
0.79,102,90,2840,7178,-2776400
0.8,89,75,2853,7193,-2796800
0.81,76,63,2866,7205,-2817800
0.82,67,56,2875,7212,-2832600
0.83,58,47,2884,7221,-2847000
0.84,54,41,2888,7227,-2853000
0.85,50,38,2892,7230,-2859600
0.86,44,32,2898,7236,-2869200
0.87,38,26,2904,7242,-2878800
0.88,33,22,2909,7246,-2887000
0.89,28,19,2914,7249,-2895400
0.9,21,19,2921,7249,-2908000
0.91,18,16,2924,7252,-2912800
0.92,15,11,2927,7257,-2917200
0.93,10,9,2932,7259,-2925800
0.94,9,8,2933,7260,-2927400
0.95,8,7,2934,7261,-2929000
